"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Deep Reinforcement Learning for Adaptive Network Slicing in 5G for Intelligent Vehicular Systems and Smart Cities","A. Nassar; Y. Yilmaz","Electrical Engineering Department, University of South Florida, Tampa, FL 33620, USA. (e-mail: atnassar@usf.edu); Electrical Engineering Department, University of South Florida, Tampa, FL 33620, USA.","IEEE Internet of Things Journal","","2021","PP","99","1","1","Intelligent vehicular systems and smart city applications are the fastest growing Internet of things (IoT) implementations at a compound annual growth rate of 30%. In view of the recent advances in IoT devices and the emerging new breed of IoT applications driven by artificial intelligence (AI), fog radio access network (F-RAN) has been recently introduced for the fifth generation (5G) wireless communications to overcome the latency limitations of cloud-RAN (C-RAN). We consider the network slicing problem of allocating the limited resources at the network edge (fog nodes) to vehicular and smart city users with heterogeneous latency and computing demands in dynamic environments. We develop a network slicing model based on a cluster of fog nodes (FNs) coordinated with an edge controller (EC) to efficiently utilize the limited resources at the network edge. For each service request in a cluster, the EC decides which FN to execute the task, i.e., locally serve the request at the edge, or to reject the task and refer it to the cloud. We formulate the problem as infinite-horizon Markov decision process (MDP) and propose a deep reinforcement learning (DRL) solution to adaptively learn the optimal slicing policy. The performance of the proposed DRL-based slicing method is evaluated by comparing it with other slicing approaches in dynamic environments and for different scenarios of design objectives. Comprehensive simulation results corroborate that the proposed DRL-based EC quickly learns the optimal policy through interaction with the environment, which enables adaptive and automated network slicing for efficient resource allocation in dynamic vehicular and smart city environments.","2327-4662","","10.1109/JIOT.2021.3091674","U.S. National Science Foundation(grant numbers:ECCS-2029875); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9463417","Intelligent Vehicular Systems;Network Slicing;Deep Reinforcement Learning;Edge Computing;Fog RAN.","Network slicing;Smart cities;Cloud computing;Resource management;Quality of service;Vehicle dynamics;Ultra reliable low latency communication","","","","","","","IEEE","23 Jun 2021","","","IEEE","IEEE Early Access Articles"
"Application of 5G network slicing technology in smart grid","R. Liu; X. Hai; S. Du; L. Zeng; J. Bai; J. Liu","Fibrlink Communications Co., Ltd,Beijing,China; Fibrlink Communications Co., Ltd,Beijing,China; Fibrlink Communications Co., Ltd,Beijing,China; State Grid Information & Telecommunication Group Co., Ltd.,Beijing,China; State Grid Information & Telecommunication Group Co., Ltd.,Beijing,China; Fibrlink Communications Co., Ltd,Beijing,China","2021 IEEE 2nd International Conference on Big Data, Artificial Intelligence and Internet of Things Engineering (ICBAIE)","2 Apr 2021","2021","","","740","743","With the development of power Internet of Things technology, the communication needs of smart grid are increasing. Network slicing technology, as a key technology for 5G empowering vertical industries, uses virtual private network technology to provide the power industry with end-to-end flexible and customized 5G services which is large bandwidth, low latency and high reliability through the slicing platform. Network slicing technologies are of great significance to the smart and efficient development of power grids. Based on this, this article introduces 5G network slicing technology, and then proposes the application of 5G network slicing in smart grids from four aspects.","","978-1-6654-1540-8","10.1109/ICBAIE52039.2021.9389979","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9389979","smart grid;network slicing;5G technology","5G mobile communication;Power supplies;Network slicing;Smart grids;Virtual private networks;Reliability;Internet of Things","5G mobile communication;Internet of Things;smart power grids;virtual private networks","smart grid;network slicing technology;virtual private network technology","","","","14","","2 Apr 2021","","","IEEE","IEEE Conferences"
"Timely admission control for network slicing in 5G with machine learning","M. Vincenzi; E. Lopez-Aguilera; E. Garcia-Villegas",Universitat Politecnica de Catalunya. (e-mail: matteo.vincenzi@upc.edu); Universitat Politecnica de Catalunya.; Universitat Politecnica de Catalunya.,"IEEE Access","","2021","PP","99","1","1","For guaranteeing the strict requirements foreseen for 5G, network slicing has been proposed as a dynamic and scalable mechanism for the allocation of customized resources to service providers. Many solutions have been proposed in the literature for the scenario where multiple service providers share the same pool of resources, while the exclusive allocation to different providers is still an open issue due to the associated complexity. In this work, we define a policy-based admission mechanism for exclusive intra-service slice allocation, at fine and adaptable timescales. In particular, we consider the case where optimal admission strategies are pre-computed offline for network state conditions that are representative of typical traffic loads and resource availability. This offline phase is also used to train a Machine learning algorithm; a neural network (NN) learns the best admission policies from a more computationally expensive mechanism in previously studied network conditions. Thus, the NN is used for providing near-optimal admission decisions at runtime under network conditions for which no optimal policy has been computed. The potential of the 5G marketplace in terms of revenue and quality of service is demonstrated for the particular case of services with strict latency constraints by means of a proof of concept tested over network traces from a real network operator. Different strategies are compared for the computation of the admission strategies and results are provided in terms of efficiency in resource utilization, fairness to the service providers, network owners’ revenue and complexity. This study confirms the feasibility of a policy-based approach for exclusive intra-service resource allocation, especially if computational-efficient mechanisms are adopted in the case of missing information about network states.","2169-3536","","10.1109/ACCESS.2021.3111143","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9530689","5G networks;mobile networks;network slicing;admission control;machine learning;neural networks;clustering;Markov processes;pricing","Resource management;5G mobile communication;Complexity theory;Indium phosphide;III-V semiconductor materials;Admission control;Network slicing","","","","","","","CCBY","7 Sep 2021","","","IEEE","IEEE Early Access Articles"
"Machine Learning Aided Network Slicing","M. Toscano; F. Grunwald; M. Richart; J. Baliosian; E. Grampín; A. Castro","School of Engineering, Universidad de la República, Montevideo, Uruguay; School of Engineering, Universidad de la República, Montevideo, Uruguay; School of Engineering, Universidad de la República, Montevideo, Uruguay; School of Engineering, Universidad de la República, Montevideo, Uruguay; School of Engineering, Universidad de la República, Montevideo, Uruguay; School of Engineering, Universidad de la República, Montevideo, Uruguay","2019 21st International Conference on Transparent Optical Networks (ICTON)","19 Sep 2019","2019","","","1","4","Future 5G wireless networks will need to deal with increasing heterogeneity in offered services, performance requirements, and communication technologies. Network slicing has appeared as a technique to deal with the complex management of these future networks. Particularly, in wireless networks, link bitrate depends on several factors (e.g., interference). In a wire-wireless network scenario, any mechanism that proposes to manage and allocate resources to implement slicing in wireless devices will require knowledge of the channel characteristics. In this paper, we present a Deep Learning algorithm to predict if a service provider will be able to fulfil a new network slice request given the conditions of the channel and the allocated resources. As part of the Deep Learning algorithm architecture, given the sequentially of the transmission data, we designed and implemented a Long Short Memory Term network for predicting the channel conditions in the near future. Results show that the propose Deep Learning algorithm reduce the number of false positive allocations by a 75%.","2161-2064","978-1-7281-2779-8","10.1109/ICTON.2019.8840141","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8840141","deep learning;long short term memory;network slicing;wire-wireless networks","Resource management;Network slicing;Deep learning;Wireless networks;Recurrent neural networks;Standards","5G mobile communication;learning (artificial intelligence);resource allocation;telecommunication computing;telecommunication traffic","wireless devices;Deep Learning algorithm;service provider;network slice request;allocated resources;Long Short Memory Term network;network slicing;wireless networks;performance requirements;communication technologies;complex management;wire-wireless network scenario","","3","","12","","19 Sep 2019","","","IEEE","IEEE Conferences"
"Research on Network Slicing for Smart Grid","W. Li; R. Liu; Y. Dai; D. Wang; H. Cai; J. Fan; Y. Li","Information Communication Branch,State Grid Jiangsu Electric Power Co., Ltd.,Nanjing,China; Nanjing NARI Information Communication Technology Co., Ltd.,Nanjing,China; Information Communication Branch,State Grid Jiangsu Electric Power Co., Ltd.,Nanjing,China; Information Communication Branch,State Grid Jiangsu Electric Power Co., Ltd.,Nanjing,China; Information Communication Branch,State Grid Jiangsu Electric Power Co., Ltd.,Nanjing,China; Information Communication Branch,State Grid Jiangsu Electric Power Co., Ltd.,Nanjing,China; Nanjing NARI Information Communication Technology Co., Ltd.,Nanjing,China","2020 IEEE 10th International Conference on Electronics Information and Emergency Communication (ICEIEC)","30 Jul 2020","2020","","","107","110","With the maturity of wireless communication technology, the ubiquitous power Internet of things (PIoT) has also been developed rapidly in recent years. Due to the wide variety of power services, different services have different requirements for communication networks. Therefore, the feasibility of network slicing technology in the PIoT needs to be considered. In this paper, we first introduce the key technologies of network slicing. Then, we analyze the power services and its requirements on wireless communication. And finally, we study the combination point of network slicing technology and different services of smart grid.","2377-844X","978-1-7281-6313-0","10.1109/ICEIEC49280.2020.9152315","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9152315","power IoT;network slicing;resource allocation","Network slicing;Resource management;Wireless communication;Reliability;5G mobile communication;Hardware","","","","3","","12","","30 Jul 2020","","","IEEE","IEEE Conferences"
"Intelligent Radio Access Network Slicing for Service Provisioning in 6G: A Hierarchical Deep Reinforcement Learning Approach","J. Mei; X. Wang; K. Zheng; G. Boudreau; A. B. Sediq; H. Abou-zeid","Department of Electrical and Computer Engineering, Western University, London, ON N6A 5B9, Canada.; Department of Electrical and Computer Engineering, Western University, London, ON N6A 5B9, Canada. (e-mail: xianbin.wang@uwo.ca); Intelligent Computing and Communication (IC) Lab, Beijing University of Posts and Telecommunications (BUPT), Beijing, 100876, China.; Ericsson Canada Inc., Ottawa, ON K2K 2V6, Canada.; Ericsson Canada Inc., Ottawa, ON K2K 2V6, Canada.; Ericsson Canada Inc., Ottawa, ON K2K 2V6, Canada.","IEEE Transactions on Communications","","2021","PP","99","1","1","Network slicing is a key paradigm in 5G and is expected to be inherited in future 6G networks for the concurrent provisioning of diverse quality of service (QoS). Unfortunately, effective slicing of Radio Access Networks (RAN) is still challenging due to time-varying network situations. This paper proposes a new intelligent RAN slicing strategy with two-layered control granularity, which aims at maximizing both the long-term QoS of services and spectrum efficiency (SE) of slices. The proposed method consists of an upper-level controller to ensure the QoS performance, which enforces loose control by performing adaptive slice configuration according to the long-term dynamics of service traffic. The lower-level controller is to improve SE of slices, by tightly scheduling radio resources to users at the small time-scale. To realize the proposed RAN slicing strategy, we propose a model-free deep reinforcement learning (DRL) framework, which is a hierarchical structure that collaboratively integrating the modified deep deterministic policy gradient (DDPG) and double deep-Q-network algorithm. Specifically, the lower-level control problem is a mixed-integer stochastic optimization problem with multiple constraints. This kind of problem is hard to be directly solved by the exiting DRL algorithms, since it involves searching for the solution in a vast set of mixed-integer action space, which will induce unbearable computational complexity. Thus, we propose a novel action space reducing approach, embedding the convex optimization tools into the DDPG algorithm, to speed up the lower-level control. Furthermore, simulation results confirm the effectiveness of our proposed intelligent RAN slicing scheme.","1558-0857","","10.1109/TCOMM.2021.3090423","Natural Sciences and Engineering Research Council of Canada NSERC Discovery Program; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9459763","Network slicing;5G beyond;6G;deep reinforcement learning;radio resource management","Quality of service;Network slicing;Stochastic processes;Resource management;Optimization;Mathematical model;Dynamic scheduling","","","","","","","IEEE","18 Jun 2021","","","IEEE","IEEE Early Access Articles"
"AI-Assisted Network-Slicing Based Next-Generation Wireless Networks","X. Shen; J. Gao; W. Wu; K. Lyu; M. Li; W. Zhuang; X. Li; J. Rao","Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ON, Canada; Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ON, Canada; Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ON, Canada; Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ON, Canada; Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ON, Canada; Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ON, Canada; Huawei Technologies Canada Inc., Ottawa, ON, Canada; Huawei Technologies Canada Inc., Ottawa, ON, Canada","IEEE Open Journal of Vehicular Technology","3 Feb 2020","2020","1","","45","66","The integration of communications with different scales, diverse radio access technologies, and various network resources renders next-generation wireless networks (NGWNs) highly heterogeneous and dynamic. Emerging use cases and applications, such as machine to machine communications, autonomous driving, and factory automation, have stringent requirements in terms of reliability, latency, throughput, and so on. Such requirements pose new challenges to architecture design, network management, and resource orchestration in NGWNs. Starting from illustrating these challenges, this paper aims at providing a good understanding of the overall architecture of NGWNs and three specific research problems under this architecture. First, we introduce a network-slicing based architecture and explain why and where artificial intelligence (AI) should be incorporated into this architecture. Second, the motivation, research challenges, existing works, and potential future directions related to applying AI-based approaches in three research problems are described in detail, i.e., flexible radio access network slicing, automated radio access technology selection, and mobile edge caching and content delivery. In summary, this paper highlights the benefits and potentials of AI-based approaches in the research of NGWNs.","2644-1330","","10.1109/OJVT.2020.2965100","Huawei Technologies Canada and from the Natural Sciences and Engineering Research Council (NSERC) of Canada; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8954683","Next-generation wireless networks;heterogeneous networks;network slicing;machine learning;radio access network slicing;radio access technology selection;content placement and delivery","Network slicing;Computer architecture;Resource management;Wireless networks;Next generation networking;Artificial intelligence;Vehicle dynamics","artificial intelligence;next generation networks;radio access networks;telecommunication computing;telecommunication network management;telecommunication network reliability","reliability;content delivery;mobile edge caching;artificial intelligence;NGWN architecture;network resources;AI-assisted network-slicing based next-generation wireless networks;diverse radio access technologies;automated radio access technology selection;flexible radio access network slicing;network-slicing based architecture;resource orchestration;network management;architecture design;autonomous driving;machine communications","","37","","136","CCBY","9 Jan 2020","","","IEEE","IEEE Journals"
"Deploying Smart City components for 5G network slicing","B. Rusti; H. Stefanescu; M. Iordache; J. Ghenta; C. Brezeanu; C. Patachia","Orange, Romania; Orange, Romania; Orange, Romania; Orange, Romania; Orange, Romania; Orange, Romania","2019 European Conference on Networks and Communications (EuCNC)","15 Aug 2019","2019","","","149","154","The integration requirements between digital systems acting as enablers for vertical industries services and network layers represents a big challenge for multitenant vertical slice deployment initiatives over 5G infrastructure. Several concepts were developed, among them Smart City 5G-ready application based on cloud-native/microservice principles that proposes a separation between the orchestration of the 5G applications and the network services that support them. In this paper we are presenting the deployment phases of Smart City demonstrator focusing mainly on its first phase which covers the test bed deployment and the on-boarding process of application components. It is an advanced stage in the evolution of the project from the theoretical concept proposal [1], followed by the design and development phase as a collaboration between two 5G-PPP EU projects MATILDA and SliceNet [2] toward its completion as an automated solution for development, deployment and management of a Smart City 5G cloud-native application slice over the virtualized infrastructure. The target is to create and implement an end-to-end operational service framework starting from design and development to end to end orchestration over a 5G infrastructure through a One-Stop API assuring the end-to-end management, control and orchestration of the slice.","2575-4912","978-1-7281-0546-8","10.1109/EuCNC.2019.8802054","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8802054","5G;Marketplace;5G-ready application;Cloud-native;Network Slice;Slice Intent;IoT;Sensor;Smart City;Matilda;SliceNet","","5G mobile communication;application program interfaces;cloud computing;computer network management;smart cities;virtualisation","5G network slicing;integration requirements;virtualized infrastructure;end-to-end management;smart city components deployment;5G-ready application;on-boarding proces;5G-PPP EU projects MATILDA;SliceNet;smart city 5G cloud-native application;one-stop API","","1","","15","","15 Aug 2019","","","IEEE","IEEE Conferences"
"Enabling Smart Home with 5G Network Slicing","B. Dzogovic; B. Santos; J. Noll; V. T. Do; B. Feng; T. v. Do","Oslo Metropolitan University, Norway; Oslo Metropolitan University, Norway; University of Oslo/ITS, Kjeller, Norway; Wolffia AS, Norway; Oslo Metropolitan University, Norway; Telenor and Oslo Metropolitan University, Norway","2019 IEEE 4th International Conference on Computer and Communication Systems (ICCCS)","2 Sep 2019","2019","","","543","548","In addition to mobile phones 5G mobile networks will have to support billion IoT devices and applications. To achieve this objective 5G relies in the network slicing concept which is not yet fully understood. This paper describes how 5G network slicing can accommodate Smart Home, a popular IoT application. The state of the art of Smart Home is thoroughly studied and the findings summarized. The Smart Home network slicing and its pilot implementation are also described in a concise but comprehensive way.","","978-1-7281-1322-7","10.1109/CCOMS.2019.8821727","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8821727","smart home;home automation;5G mobile networks;5G mobile systems;5G network slicing;internet of things","Smart homes;5G mobile communication;Wireless LAN;Security;Communication system security;Network slicing;Wireless sensor networks","5G mobile communication;Internet of Things;mobile handsets","5G network slicing;mobile phones 5G mobile networks;Smart Home network slicing;IoT application","","8","","23","","2 Sep 2019","","","IEEE","IEEE Conferences"
"Hardware-Based Network Slicing for Supporting Smart Grids Self-Healing over 5G Networks","R. Ricart-Sanchez; A. C. Aleixo; Q. Wang; J. M. Alcaraz Calero",University of the West of Scotland; Efacec; University of the West of Scotland; University of the West of Scotland,"2020 IEEE International Conference on Communications Workshops (ICC Workshops)","21 Jul 2020","2020","","","1","6","As a fundamental technology in the Fifth-Generation (5G) mobile networks, network slicing creates multiple logical networks for various vertical businesses over the same physical 5G infrastructure to achieve cost-effective service provisioning. Meanwhile, mission-critical vertical businesses would require a very high level of guaranteed Quality of Service (QoS) that is beyond software-based network slicing approaches. In this paper, we address a highly demanding Smart Grid Self-Healing Automatic Reconfiguration use case to ensure ultra-Reliable and Low-Latency communications (uRLLC) through improved network slicing based on programmable hardware acceleration. Empirical results have demonstrated the superior performance of the proposed approach in meeting the strict and challenging QoS requirements of this use case.","2474-9133","978-1-7281-7440-2","10.1109/ICCWorkshops49005.2020.9145088","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9145088","5G;network slicing;hardware acceleration;smart grid;uRLLC","5G mobile communication;Smart grids;Network slicing;Quality of service;Protocols;Substations","5G mobile communication;computer network reliability;quality of service;smart power grids","strict QoS requirements;hardware-based network slicing;Smart grids Self-Healing over 5G networks;Fifth-Generation mobile networks;multiple logical networks;physical 5G infrastructure;cost-effective service provisioning;mission-critical vertical businesses;software-based network slicing approaches;Smart Grid Self-Healing Automatic Reconfiguration use case;ultra-Reliable Low-Latency communications;programmable hardware acceleration","","2","","17","","21 Jul 2020","","","IEEE","IEEE Conferences"
