"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Deep Reinforcement Learning for Adaptive Network Slicing in 5G for Intelligent Vehicular Systems and Smart Cities","A. Nassar; Y. Yilmaz","Electrical Engineering Department, University of South Florida, Tampa, FL 33620, USA. (e-mail: atnassar@usf.edu); Electrical Engineering Department, University of South Florida, Tampa, FL 33620, USA.","IEEE Internet of Things Journal","","2021","PP","99","1","1","Intelligent vehicular systems and smart city applications are the fastest growing Internet of things (IoT) implementations at a compound annual growth rate of 30%. In view of the recent advances in IoT devices and the emerging new breed of IoT applications driven by artificial intelligence (AI), fog radio access network (F-RAN) has been recently introduced for the fifth generation (5G) wireless communications to overcome the latency limitations of cloud-RAN (C-RAN). We consider the network slicing problem of allocating the limited resources at the network edge (fog nodes) to vehicular and smart city users with heterogeneous latency and computing demands in dynamic environments. We develop a network slicing model based on a cluster of fog nodes (FNs) coordinated with an edge controller (EC) to efficiently utilize the limited resources at the network edge. For each service request in a cluster, the EC decides which FN to execute the task, i.e., locally serve the request at the edge, or to reject the task and refer it to the cloud. We formulate the problem as infinite-horizon Markov decision process (MDP) and propose a deep reinforcement learning (DRL) solution to adaptively learn the optimal slicing policy. The performance of the proposed DRL-based slicing method is evaluated by comparing it with other slicing approaches in dynamic environments and for different scenarios of design objectives. Comprehensive simulation results corroborate that the proposed DRL-based EC quickly learns the optimal policy through interaction with the environment, which enables adaptive and automated network slicing for efficient resource allocation in dynamic vehicular and smart city environments.","2327-4662","","10.1109/JIOT.2021.3091674","U.S. National Science Foundation(grant numbers:ECCS-2029875); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9463417","Intelligent Vehicular Systems;Network Slicing;Deep Reinforcement Learning;Edge Computing;Fog RAN.","Network slicing;Smart cities;Cloud computing;Resource management;Quality of service;Vehicle dynamics;Ultra reliable low latency communication","","","","","","","IEEE","23 Jun 2021","","","IEEE","IEEE Early Access Articles"
"Zero-Touch Network Slicing Through Multi-Domain Transport Networks","R. Vilalta; P. Alemany; R. Casellas; R. Martínez; C. Parada; J. Bonnet; F. Vicens; R. Muñoz",Centre Tecnològic de Telecomunicacions de Catalunya (CTTC/CERCA); Centre Tecnològic de Telecomunicacions de Catalunya (CTTC/CERCA); Centre Tecnològic de Telecomunicacions de Catalunya (CTTC/CERCA); Centre Tecnològic de Telecomunicacions de Catalunya (CTTC/CERCA); Altice Labs; Altice Labs; ATOS; Centre Tecnològic de Telecomunicacions de Catalunya (CTTC/CERCA),"2018 20th International Conference on Transparent Optical Networks (ICTON)","27 Sep 2018","2018","","","1","4","The concept of network slicing is gaining a lot of interest and being under notable discussion within SDOs such as 3GPP, NGMN, ETSI and 5G Americas. A Network Slice is end-to-end service composed by a set of network functions, and the resources to run these network functions, forming a complete instantiated logical network, which meets certain network characteristics. In this paper, we provide an overview of the design and development of a network slice manager component inside the SONATA Service Platform. The proposed component is able to align with ETSI NFV and 3GPP models.","2161-2064","978-1-5386-6605-0","10.1109/ICTON.2018.8473898","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8473898","5G;network slicing;NFV;3GPP;ETSI;transport networks","3GPP;Network slicing;5G mobile communication;Quality of service;Data models;Conferences;Libraries","3G mobile communication;5G mobile communication;virtualisation","multidomain transport networks;end-to-end service;network functions;network characteristics;network slice manager component;instantiated logical network;zero-touch network slicing;SDO;NGMN;3GPP model;5G Americas;SONATA service platform;ETSI NFV model","","5","","6","","27 Sep 2018","","","IEEE","IEEE Conferences"
"Machine Learning Aided Network Slicing","M. Toscano; F. Grunwald; M. Richart; J. Baliosian; E. Grampín; A. Castro","School of Engineering, Universidad de la República, Montevideo, Uruguay; School of Engineering, Universidad de la República, Montevideo, Uruguay; School of Engineering, Universidad de la República, Montevideo, Uruguay; School of Engineering, Universidad de la República, Montevideo, Uruguay; School of Engineering, Universidad de la República, Montevideo, Uruguay; School of Engineering, Universidad de la República, Montevideo, Uruguay","2019 21st International Conference on Transparent Optical Networks (ICTON)","19 Sep 2019","2019","","","1","4","Future 5G wireless networks will need to deal with increasing heterogeneity in offered services, performance requirements, and communication technologies. Network slicing has appeared as a technique to deal with the complex management of these future networks. Particularly, in wireless networks, link bitrate depends on several factors (e.g., interference). In a wire-wireless network scenario, any mechanism that proposes to manage and allocate resources to implement slicing in wireless devices will require knowledge of the channel characteristics. In this paper, we present a Deep Learning algorithm to predict if a service provider will be able to fulfil a new network slice request given the conditions of the channel and the allocated resources. As part of the Deep Learning algorithm architecture, given the sequentially of the transmission data, we designed and implemented a Long Short Memory Term network for predicting the channel conditions in the near future. Results show that the propose Deep Learning algorithm reduce the number of false positive allocations by a 75%.","2161-2064","978-1-7281-2779-8","10.1109/ICTON.2019.8840141","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8840141","deep learning;long short term memory;network slicing;wire-wireless networks","Resource management;Network slicing;Deep learning;Wireless networks;Recurrent neural networks;Standards","5G mobile communication;learning (artificial intelligence);resource allocation;telecommunication computing;telecommunication traffic","wireless devices;Deep Learning algorithm;service provider;network slice request;allocated resources;Long Short Memory Term network;network slicing;wireless networks;performance requirements;communication technologies;complex management;wire-wireless network scenario","","3","","12","","19 Sep 2019","","","IEEE","IEEE Conferences"
"Semi-Decentralized Network Slicing for Reliable V2V Service Provisioning: A Model-Free Deep Reinforcement Learning Approach","J. Mei; X. Wang; K. Zheng","Department of Electrical and Computer Engineering, Western University, London, ON N6A 5B9, Canada.; Department of Electrical and Computer Engineering, Western University, London, ON N6A 5B9, Canada (e-mail: xianbin.wang@uwo.ca); Intelligent Computing and Communication (IC2) Lab, Beijing University of Posts and Telecommunications (BUPT), Beijing 100876, China.","IEEE Transactions on Intelligent Transportation Systems","","2021","PP","99","1","13","Applying of network slicing in vehicular networks becomes a promising paradigm to support emerging Vehicle-to-Vehicle (V2V) applications with diverse quality of service (QoS) requirements. However, achieving effective network slicing in dynamic vehicular communications still faces many challenges, particularly time-varying traffic of Vehicle-to-Vehicle (V2V) services and the fast-changing network topology. By leveraging the widely deployed LTE infrastructures, we propose a semi-decentralized network slicing framework in this paper based on the C-V2X Mode-4 standard to provide customized network slices for diverse V2V services. With only the long-term and partial information of vehicular networks, eNodeB (eNB) can infer the underlying network situation and then intelligently adjust the configuration for each slice to ensure the long-term QoS performance. Under the coordination of eNB, each vehicle can autonomously select radio resources for its V2V transmission in a decentralized manner. Specifically, the slicing control at the eNB is realized by a model-free deep reinforcement learning (DRL) algorithm, which is a convergence of Long Short Term Memory (LSTM) and actor-critic DRL. Compared to the existing DRL algorithms, the proposed DRL neither requires any prior knowledge nor assumes any statistical model of vehicular networks. Furthermore, simulation results show the effectiveness of our proposed intelligent network slicing scheme.","1558-0016","","10.1109/TITS.2021.3109878","Natural Sciences and Engineering Research Council of Canada NSERC Discovery Program(grant numbers:RGPIN2018-06254); Canada Research Chair Program; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9535371","V2V communication;C-V2X mode-4;network slicing;deep reinforcement learning.","Network slicing;Quality of service;Resource management;Sensors;Mathematical model;Vehicular ad hoc networks;Vehicle dynamics","","","","","","","IEEE","10 Sep 2021","","","IEEE","IEEE Early Access Articles"
"Continuous Multi-objective Zero-touch Network Slicing via Twin Delayed DDPG and OpenAI Gym","F. Rezazadeh; H. Chergui; L. Alonso; C. Verikoukis","Telecommunications Technological Center of Catalonia (CTTC),Barcelona,Spain; Telecommunications Technological Center of Catalonia (CTTC),Barcelona,Spain; Technical University of Catalonia (UPC),Barcelona,Spain; Telecommunications Technological Center of Catalonia (CTTC),Barcelona,Spain","GLOBECOM 2020 - 2020 IEEE Global Communications Conference","25 Jan 2021","2020","","","1","6","Artificial intelligence (AI)-driven zero-touch network slicing (NS) is a new paradigm enabling the automation of resource management and orchestration (MANO) in multi-tenant beyond 5G (B5G) networks. In this paper, we tackle the problem of cloud-RAN (C-RAN) joint slice admission control and resource allocation by first formulating it as a Markov decision process (MDP). We then invoke an advanced continuous deep reinforcement learning (DRL) method called twin delayed deep deterministic policy gradient (TD3) to solve it. In this intent, we introduce a multi-objective approach to make the central unit (CU) learn how to re-conFigure computing resources autonomously while minimizing latency, energy consumption and virtual network function (VNF) instantiation cost for each slice. Moreover, we build a complete 5G C-RAN network slicing environment using OpenAI Gym toolkit where, thanks to its standardized interface, it can be easily tested with different DRL schemes. Finally, we present extensive experimental results to showcase the gain of TD3 as well as the adopted multi-objective strategy in terms of achieved slice admission success rate, latency, energy saving and CPU utilization.","2576-6813","978-1-7281-8298-8","10.1109/GLOBECOM42002.2020.9322237","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9322237","Admission control;B5G;continuous DRL;C-RAN;network slicing;OpenAI Gym;resource allocation;zero-touch","Resource management;Wireless communication;Dynamic scheduling;Network slicing;5G mobile communication;Delays;Computer architecture","5G mobile communication;cloud computing;decision theory;deep learning (artificial intelligence);Markov processes;radio access networks;resource allocation;telecommunication congestion control;telecommunication power management;virtualisation","continuous multiobjective zero-touch network slicing;twin delayed DDPG;artificial intelligence-driven zero-touch network slicing;resource management;cloud-RAN;resource allocation;Markov decision process;advanced continuous deep reinforcement learning method;deep deterministic policy gradient;re-configure computing resources;virtual network function instantiation cost;OpenAI Gym toolkit;adopted multiobjective strategy;slice admission success rate;multitenant beyond 5G networks;energy consumption;energy saving;CPU utilization;complete 5G C-RAN network slicing environment","","","","22","","25 Jan 2021","","","IEEE","IEEE Conferences"
"Application of 5G network slicing technology in smart grid","R. Liu; X. Hai; S. Du; L. Zeng; J. Bai; J. Liu","Fibrlink Communications Co., Ltd,Beijing,China; Fibrlink Communications Co., Ltd,Beijing,China; Fibrlink Communications Co., Ltd,Beijing,China; State Grid Information & Telecommunication Group Co., Ltd.,Beijing,China; State Grid Information & Telecommunication Group Co., Ltd.,Beijing,China; Fibrlink Communications Co., Ltd,Beijing,China","2021 IEEE 2nd International Conference on Big Data, Artificial Intelligence and Internet of Things Engineering (ICBAIE)","2 Apr 2021","2021","","","740","743","With the development of power Internet of Things technology, the communication needs of smart grid are increasing. Network slicing technology, as a key technology for 5G empowering vertical industries, uses virtual private network technology to provide the power industry with end-to-end flexible and customized 5G services which is large bandwidth, low latency and high reliability through the slicing platform. Network slicing technologies are of great significance to the smart and efficient development of power grids. Based on this, this article introduces 5G network slicing technology, and then proposes the application of 5G network slicing in smart grids from four aspects.","","978-1-6654-1540-8","10.1109/ICBAIE52039.2021.9389979","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9389979","smart grid;network slicing;5G technology","5G mobile communication;Power supplies;Network slicing;Smart grids;Virtual private networks;Reliability;Internet of Things","5G mobile communication;Internet of Things;smart power grids;virtual private networks","smart grid;network slicing technology;virtual private network technology","","","","14","","2 Apr 2021","","","IEEE","IEEE Conferences"
"Deep Reinforcement Learning for Resource Management in Network Slicing","R. Li; Z. Zhao; Q. Sun; C. I; C. Yang; X. Chen; M. Zhao; H. Zhang","College of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, China; College of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, China; Green Communication Research Center, China Mobile Research Institute, Beijing, China; Green Communication Research Center, China Mobile Research Institute, Beijing, China; School of Electronics and Information Engineering, Beihang University, Beijing, China; VTT Technical Research Centre of Finland, Oulu, Finland; College of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, China; College of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, China","IEEE Access","17 Dec 2018","2018","6","","74429","74441","Network slicing is born as an emerging business to operators by allowing them to sell the customized slices to various tenants at different prices. In order to provide better-performing and costefficient services, network slicing involves challenging technical issues and urgently looks forward to intelligent innovations to make the resource management consistent with users' activities per slice. In that regard, deep reinforcement learning (DRL), which focuses on how to interact with the environment by trying alternative actions and reinforcing the tendency actions producing more rewarding consequences, is assumed to be a promising solution. In this paper, after briefly reviewing the fundamental concepts of DRL, we investigate the application of DRL in solving some typical resource management for network slicing scenarios, which include radio resource slicing and priority-based core network slicing, and demonstrate the advantage of DRL over several competing schemes through extensive simulations. Finally, we also discuss the possible challenges to apply DRL in network slicing from a general perspective.","2169-3536","","10.1109/ACCESS.2018.2881964","National Key R&D Program of China(grant numbers:2018YFB0803702); National Natural Science Foundation of China(grant numbers:61701439,61731002); Zhejiang Key Research and Development Plan(grant numbers:2018C03056); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8540003","Deep reinforcement learning;network slicing;neural networks;Q-learning;resource management","Network slicing;Resource management;Neural networks;5G mobile communication;Quality of experience","learning (artificial intelligence);neural nets;quality of service;resource allocation;telecommunication traffic;virtualisation","intelligent innovations;resource management;priority-based core network slicing;radio resource slicing;network slicing scenarios;DRL;customized slices;deep reinforcement learning","","74","","24","","18 Nov 2018","","","IEEE","IEEE Journals"
"Deep Federated Q-Learning-Based Network Slicing for Industrial IoT","S. Messaoud; A. Bradai; O. B. Ahmed; P. T. A. Quang; M. Atri; M. S. Hossain","Faculty of Sciences of Monastir, Laboratory of Electronics and Microelectronics, University of Monastir, Monastir, Tunisia; XLIM-CNRS, University of Poitiers, Chasseneuil Cedex, France; XLIM-CNRS, University of Poitiers, Chasseneuil Cedex, France; Huawei-France, Boulogne-Billancourt, France; College of Computer Science, University of King Khalid, Abha, Saudi Arabia; King Saud University, Riyadh, Saudi Arabia","IEEE Transactions on Industrial Informatics","4 May 2021","2021","17","8","5572","5582","Fifth generation and beyond networks are envisioned to support multi industrial Internet of Things (IIoT) applications with a diverse quality-of-service (QoS) requirements. Network slicing is recognized as a flagship technology that enables IIoT networks with multiservices and resource requirements by allowing the network-as-infrastructure transition to the network-as-service. Motivated by the increasing IIoT computational capacity, and taking into consideration the QoS satisfaction and private data sharing challenges, federated reinforcement learning (RL) has become a promising approach that distributes data acquisition and computation tasks over distributed network agents, exploiting local computation capacities and agent's self-learning experiences. This article proposes a novel deep RL scheme to provide a federated and dynamic network management and resource allocation for differentiated QoS services in future IIoT networks. This involves IIoT slices resource allocation in terms of transmission power (TP) and spreading factor (SF) according to the slices QoS requirements. Toward this goal, the proposed deep federated Q-learning (DFQL) is reached into two main steps. First, we propose a multiagent deep Q-learning-based dynamic slices TP and SF adjustment process that aims at maximizing self-QoS requirements in term of throughput and delay. Second, the deep federated learning is proposed to learn multiagent self-model and enable them to find an optimal action decision on the TP and the SF that satisfy IIoT virtual network slice QoS reward, exploiting the shared experiences between agents. Simulation results show that the proposed DFQL framework achieves efficient performance compared to the traditional approaches.","1941-0050","","10.1109/TII.2020.3032165","King Saud University; Vice Deanship of Scientific Research Chairs: Chair of Pervasive and Mobile Computing; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9239890","Federated learning (FL);industrial Internet of Things (IIoT);network slicing (NS);quality-of-service (QoS);reinforcement learning (RL)","Quality of service;Network slicing;Computer architecture;Resource management;Reinforcement learning;Collaborative work","computer network management;data acquisition;Internet;Internet of Things;learning (artificial intelligence);multi-agent systems;quality of service;resource allocation","federated reinforcement learning;private data;increasing IIoT computational capacity;network-as-service;network-as-infrastructure transition;resource requirements;quality-of-service requirements;Things applications;multiindustrial Internet;industrial IoT;deep federated Q-learning-based network slicing;satisfy IIoT virtual network slice QoS reward;deep federated learning;multiagent deep Q-learning-based dynamic slices TP;IIoT slices resource allocation;future IIoT networks;differentiated QoS services;dynamic network management;deep RL scheme;self-learning experiences;local computation capacities;distributed network agents;computation tasks;data acquisition","","","","30","IEEE","26 Oct 2020","","","IEEE","IEEE Journals"
"Research on Network Slicing for Smart Grid","W. Li; R. Liu; Y. Dai; D. Wang; H. Cai; J. Fan; Y. Li","Information Communication Branch,State Grid Jiangsu Electric Power Co., Ltd.,Nanjing,China; Nanjing NARI Information Communication Technology Co., Ltd.,Nanjing,China; Information Communication Branch,State Grid Jiangsu Electric Power Co., Ltd.,Nanjing,China; Information Communication Branch,State Grid Jiangsu Electric Power Co., Ltd.,Nanjing,China; Information Communication Branch,State Grid Jiangsu Electric Power Co., Ltd.,Nanjing,China; Information Communication Branch,State Grid Jiangsu Electric Power Co., Ltd.,Nanjing,China; Nanjing NARI Information Communication Technology Co., Ltd.,Nanjing,China","2020 IEEE 10th International Conference on Electronics Information and Emergency Communication (ICEIEC)","30 Jul 2020","2020","","","107","110","With the maturity of wireless communication technology, the ubiquitous power Internet of things (PIoT) has also been developed rapidly in recent years. Due to the wide variety of power services, different services have different requirements for communication networks. Therefore, the feasibility of network slicing technology in the PIoT needs to be considered. In this paper, we first introduce the key technologies of network slicing. Then, we analyze the power services and its requirements on wireless communication. And finally, we study the combination point of network slicing technology and different services of smart grid.","2377-844X","978-1-7281-6313-0","10.1109/ICEIEC49280.2020.9152315","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9152315","power IoT;network slicing;resource allocation","Network slicing;Resource management;Wireless communication;Reliability;5G mobile communication;Hardware","","","","3","","12","","30 Jul 2020","","","IEEE","IEEE Conferences"
"Deep Reinforcement Learning for Edge Computing Resource Allocation in Blockchain Network Slicing Broker Framework","Y. Gong; S. Sun; Y. Wei; M. Song","Beijing University of Posts and Telecommunications,School of Electronic Engineering,Beijing,P.R. China; Beijing University of Posts and Telecommunications,School of Electronic Engineering,Beijing,P.R. China; Beijing University of Posts and Telecommunications,School of Electronic Engineering,Beijing,P.R. China; Beijing University of Posts and Telecommunications,School of Electronic Engineering,Beijing,P.R. China","2021 IEEE 93rd Vehicular Technology Conference (VTC2021-Spring)","15 Jun 2021","2021","","","1","6","With the constant development of 5G technology, such as softwareization and virtualization, the novel concept of network slicing has been appeared. Blockchain is a decentralized technology for managing transactions and data which can ensure the security of transaction. Recently, the classical mobile network introduces a new role such as network slice agent to provide slices for one or across multiple operators, providing services for users or vertical industries over a larger time and space range. In this paper, we propose the blockchain network slicing broker (BNSB), an intermediate broker, which receive resources request and response then allocation resources between Network Slice Tenants (NST) and then schedule physical resources from Infrastructure Provider (InP) through smart contracts. The topology information is obtained according to the Complex Network theory and the value of nodes is defined according to their importance. In addition, Deep Reinforcement Learning algorithms is used to explore the optimal policy under the condition of meeting the service Level Agreement (SLA).","2577-2465","978-1-7281-8964-2","10.1109/VTC2021-Spring51267.2021.9449081","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9449081","network slicing;blockchain;complex network theory;resource allocation;deep reinforcement learning","Network slicing;Smart contracts;Blockchain;Reinforcement learning;Complex networks;Resource management;Security","5G mobile communication;blockchains;complex networks;computer network management;contracts;deep learning (artificial intelligence);mobile computing;network theory (graphs);resource allocation;telecommunication network topology;telecommunication scheduling;transaction processing","edge computing resource allocation;blockchain Network slicing broker framework;decentralized technology;mobile network;network slice agent;intermediate broker;allocation resources;Network Slice Tenants;physical resources;Infrastructure Provider;Complex Network theory;Deep Reinforcement Learning algorithms;NST;InP;smart contracts;topology information;service level agreement;SLA;BNSB;5G technology","","","","16","","15 Jun 2021","","","IEEE","IEEE Conferences"
